,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,target
140,46,0,83822,8,14,1,3,1,0,1,0,0,40,0, <=50K.
141,18,0,262118,3,10,0,5,0,2,0,0,0,22,6, <=50K.
142,40,0,155972,1,9,1,6,1,0,1,7688,0,55,0, >50K.
143,43,5,214503,1,9,1,6,1,0,1,0,1887,45,0, >50K.
144,34,0,159303,8,14,0,3,0,0,0,0,0,30,0, <=50K.
145,47,2,174995,1,9,2,6,2,0,0,0,0,30,0, <=50K.
146,44,0,26669,10,11,2,6,3,0,0,0,0,30,0, <=50K.
147,33,0,177727,1,9,1,8,1,0,1,0,0,40,0, >50K.
148,55,0,124771,7,13,1,6,1,0,1,15024,0,50,0, >50K.
149,19,0,456736,1,9,0,8,2,0,1,2907,0,30,0, <=50K.
150,28,0,216604,3,10,0,2,2,1,1,0,0,14,0, <=50K.
151,27,0,221561,0,7,1,2,4,1,0,0,0,32,0, <=50K.
152,50,0,114564,6,4,1,0,1,0,1,0,0,20,0, <=50K.
153,22,0,315476,0,7,0,4,3,0,1,0,0,40,0, <=50K.
154,40,4,67874,7,13,1,5,1,0,1,0,1887,45,0, >50K.
155,25,0,126110,3,10,0,5,0,0,0,0,0,40,0, <=50K.
156,26,1,102264,1,9,0,4,2,0,1,0,0,40,0, <=50K.
157,22,0,537222,7,13,0,8,2,0,1,0,0,25,0, <=50K.
158,42,0,113732,3,10,0,11,3,1,0,0,625,40,0, <=50K.
159,38,5,93225,7,13,4,6,2,0,1,0,0,40,0, <=50K.
160,55,0,43064,0,7,1,2,1,0,1,0,0,30,0, <=50K.
161,32,0,136921,1,9,1,8,1,0,1,0,0,40,0, <=50K.
162,22,0,388885,1,9,1,4,1,0,1,0,0,45,0, <=50K.
163,29,0,142249,7,13,0,8,0,0,1,0,0,40,0, <=50K.
164,46,4,56841,8,14,1,6,1,0,1,0,0,45,0, >50K.
165,31,0,156493,3,10,1,6,1,0,1,0,0,40,0, >50K.
166,58,2,159021,12,16,1,3,1,0,1,0,0,16,0, >50K.
167,42,0,190910,1,9,1,4,1,0,1,0,0,45,0, <=50K.
168,18,0,41879,1,9,0,11,3,0,1,0,0,25,0, <=50K.
169,58,1,137249,1,9,4,6,2,0,1,0,0,33,0, <=50K.
170,54,0,236157,1,9,1,3,1,0,1,0,1887,40,0, >50K.
171,34,0,189759,8,14,0,3,2,0,1,0,0,40,0, <=50K.
172,26,0,239877,7,13,0,5,2,0,0,0,0,40,0, <=50K.
173,61,0,21175,13,8,1,6,1,0,1,0,0,60,0, <=50K.
174,48,1,67229,8,14,3,5,3,1,0,0,0,40,0, <=50K.
175,36,0,236391,3,10,1,6,1,0,1,0,0,45,0, >50K.
176,24,0,325596,10,11,1,0,1,0,1,0,0,45,0, <=50K.
177,40,0,83411,3,10,1,0,1,0,1,0,0,37,0, <=50K.
178,33,5,154227,1,9,1,8,1,0,1,0,0,50,0, >50K.
179,37,0,248010,3,10,1,0,1,0,1,0,1887,40,0, >50K.
180,34,0,198613,8,14,0,6,0,0,1,4650,0,40,0, <=50K.
181,56,5,321529,3,10,1,6,1,0,1,15024,0,40,0, >50K.
183,37,0,203079,7,13,2,6,2,0,0,0,0,55,0, <=50K.
184,44,0,284652,1,9,4,8,3,1,0,0,0,40,0, <=50K.
186,54,0,59840,1,9,4,11,2,0,1,0,0,45,0, <=50K.
187,23,0,52753,1,9,0,0,2,0,1,0,0,50,0, <=50K.
189,22,0,199266,1,9,0,2,2,0,0,0,0,45,0, <=50K.
190,33,0,196385,7,13,1,6,1,0,1,0,1977,40,0, >50K.
191,39,0,163205,7,13,3,3,2,0,1,0,0,50,0, >50K.
192,47,0,411047,3,10,4,5,2,1,0,0,0,37,0, <=50K.
194,26,0,209440,1,9,0,3,3,1,0,0,0,55,0, <=50K.
195,31,0,56964,3,10,4,6,3,0,0,0,0,40,0, <=50K.
196,44,0,299197,3,10,0,10,2,0,1,0,0,45,0, <=50K.
197,42,5,240628,5,15,1,3,4,0,0,0,0,50,0, >50K.
198,19,0,355313,1,9,0,0,2,0,0,0,0,40,0, <=50K.
199,27,0,132267,1,9,1,11,1,0,1,0,0,40,0, >50K.
200,51,1,174861,3,10,1,13,1,0,1,0,0,40,0, >50K.
201,28,5,142443,7,13,1,6,1,0,1,0,0,50,0, <=50K.
202,57,0,26716,7,13,4,4,2,0,1,0,0,45,0, <=50K.
203,45,1,185588,7,13,4,3,3,0,0,0,0,40,0, <=50K.
204,50,0,175029,10,11,1,3,1,0,1,0,0,40,0, >50K.
205,34,5,34848,7,13,1,8,1,0,1,0,0,54,0, <=50K.
206,45,0,411273,6,4,1,4,1,1,1,0,0,40,0, <=50K.
207,73,1,143437,1,9,1,6,1,0,1,0,0,20,0, <=50K.
208,34,0,357145,7,13,1,3,4,0,0,0,0,50,0, >50K.
209,31,0,236861,3,10,1,8,1,0,1,0,0,55,0, >50K.
210,19,0,53355,0,7,0,8,2,0,1,0,0,12,0, <=50K.
211,25,0,29106,3,10,0,2,0,0,0,0,0,50,0, <=50K.
212,38,3,213274,10,11,4,4,3,0,0,6497,0,40,0, <=50K.
213,39,0,22463,7,13,1,10,1,0,1,0,0,40,0, <=50K.
214,23,0,180497,7,13,0,7,0,1,0,0,0,32,0, <=50K.
215,49,0,37306,1,9,1,0,1,0,1,0,0,40,0, <=50K.
216,33,3,137814,1,9,0,2,2,0,1,0,0,32,0, <=50K.
217,21,0,447488,9,3,0,0,5,0,1,0,0,38,3, <=50K.
218,31,0,220915,10,11,3,4,2,0,1,0,0,40,0, <=50K.
219,23,0,42251,7,13,0,6,2,0,0,0,0,45,0, <=50K.
220,34,0,162312,7,13,1,5,1,2,1,0,0,40,7, <=50K.
221,25,0,77698,1,9,0,0,2,2,0,0,0,40,7, <=50K.
222,39,0,282951,1,9,0,4,3,0,1,0,0,40,0, <=50K.
223,52,5,311259,1,9,1,8,1,0,1,0,0,40,0, >50K.
224,63,1,65479,11,5,1,10,1,0,1,7688,0,40,0, >50K.
225,41,0,277256,3,10,1,4,1,0,1,0,0,40,0, <=50K.
226,46,0,312088,7,13,1,3,1,0,1,15024,0,38,0, >50K.
227,53,1,169719,1,9,1,6,1,0,1,0,0,40,0, <=50K.
230,18,0,96869,13,8,0,9,0,0,1,0,0,40,0, <=50K.
231,38,0,237943,5,15,1,3,1,0,1,0,0,50,0, <=50K.
232,55,0,119751,8,14,0,6,3,2,0,0,0,50,8, <=50K.
233,34,0,236861,1,9,1,7,1,0,1,0,0,40,0, >50K.
234,80,2,201092,1,9,1,2,1,0,1,0,0,30,0, <=50K.
235,34,0,147215,10,11,4,7,3,0,0,0,0,60,0, <=50K.
236,52,0,152373,3,10,1,7,1,0,1,5013,0,40,0, <=50K.
237,42,0,227968,1,9,0,2,3,1,0,0,0,28,9, <=50K.
238,26,0,362617,3,10,0,8,2,0,0,0,0,40,0, <=50K.
239,31,0,103435,1,9,1,10,1,0,1,0,0,40,0, <=50K.
240,25,1,281412,1,9,0,2,0,0,0,0,0,35,0, <=50K.
241,55,2,105239,1,9,1,4,1,0,1,0,2057,60,0, <=50K.
242,19,0,230165,3,10,0,2,0,0,0,0,0,12,0, <=50K.
243,62,2,177493,3,10,1,10,1,0,1,0,0,32,0, <=50K.
244,22,3,104443,3,10,0,5,0,0,0,0,0,20,0, <=50K.
246,35,0,143385,1,9,1,11,1,0,1,0,0,40,0, <=50K.
247,28,0,107189,1,9,1,8,0,0,0,0,0,40,0, <=50K.
248,47,0,212944,1,9,1,10,1,0,1,0,0,70,0, >50K.
249,44,4,138634,1,9,1,0,1,0,1,0,0,40,0, <=50K.
250,21,0,99970,3,10,0,8,0,0,1,0,0,15,0, <=50K.
251,35,0,203717,10,11,0,4,2,0,1,0,0,50,0, <=50K.
252,24,0,313956,7,13,1,3,1,0,1,0,0,40,0, >50K.
254,28,0,193868,7,13,0,7,0,0,1,0,0,50,0, <=50K.
255,21,0,250939,3,10,0,0,5,0,1,0,0,35,0, <=50K.
256,62,3,57629,3,10,4,7,2,1,1,4650,0,40,0, <=50K.
257,39,0,281768,1,9,0,2,2,1,0,0,0,40,0, <=50K.
258,30,4,260782,1,9,0,2,2,0,1,0,0,40,0, <=50K.
259,72,2,243769,5,15,0,3,2,0,1,0,1429,20,0, <=50K.
260,50,0,109937,3,10,1,6,4,0,0,0,0,50,0, <=50K.
261,28,1,134890,8,14,0,3,2,0,1,0,0,40,0, <=50K.
262,29,0,100293,3,10,0,3,2,0,0,0,0,40,0, <=50K.
263,26,0,132179,7,13,0,5,0,0,0,0,0,40,0, <=50K.
264,27,0,116372,8,14,0,6,2,0,0,0,0,40,0, <=50K.
265,29,0,255412,3,10,1,11,1,0,1,3103,0,40,0, >50K.
267,29,0,342400,4,6,1,4,1,0,1,0,0,25,0, <=50K.
269,31,0,169085,0,7,1,8,4,0,0,0,0,20,0, <=50K.
270,25,0,177221,1,9,1,6,1,0,1,0,0,75,0, <=50K.
271,58,0,65325,4,6,1,10,1,0,1,0,0,40,0, >50K.
272,64,0,118944,3,10,1,6,4,0,0,0,0,40,0, >50K.
273,46,4,149337,8,14,0,6,2,0,1,0,0,38,0, <=50K.
275,19,0,106183,1,9,0,2,0,4,0,0,0,35,0, <=50K.
276,42,0,226388,1,9,4,2,2,1,1,0,0,52,0, <=50K.
277,18,0,220754,0,7,0,11,0,0,1,0,0,24,0, <=50K.
278,58,5,204021,7,13,1,4,1,0,1,15024,0,50,0, >50K.
279,20,0,347391,3,10,0,13,2,1,1,0,0,60,0, <=50K.
280,35,3,413930,1,9,1,4,1,0,1,0,0,40,0, >50K.
281,32,0,174201,1,9,1,11,1,0,1,0,0,38,0, >50K.
282,23,0,145917,1,9,0,11,2,0,0,0,0,25,0, <=50K.
283,31,0,241797,3,10,4,7,3,0,0,0,0,40,0, <=50K.
284,33,0,265168,7,13,1,8,1,1,1,0,0,55,0, <=50K.
285,41,0,171234,3,10,0,0,2,0,0,0,0,48,0, <=50K.
286,22,0,178452,1,9,0,0,0,1,1,0,0,40,0, <=50K.
287,46,0,157857,3,10,1,13,1,0,1,0,0,40,0, >50K.
288,61,3,512864,3,10,1,10,1,1,1,0,0,40,0, <=50K.
289,30,0,296462,1,9,0,6,2,1,1,0,0,40,0, <=50K.
290,42,0,171615,1,9,1,6,1,0,1,0,0,55,0, >50K.
291,63,0,214071,4,6,1,11,1,0,1,0,0,40,0, <=50K.
292,26,0,172421,3,10,1,8,1,0,1,0,0,40,0, <=50K.
293,42,0,195488,4,6,4,5,3,0,0,0,0,40,0, <=50K.
294,23,0,316841,3,10,1,2,1,0,1,0,0,40,0, <=50K.
295,25,0,236267,1,9,0,0,3,0,1,0,1590,40,0, <=50K.
296,30,0,236543,11,5,1,2,1,0,1,0,0,32,10, >50K.
297,23,0,318483,1,9,0,8,0,0,1,0,0,40,0, <=50K.
298,34,2,163756,10,11,0,1,2,0,1,27828,0,60,0, >50K.
299,30,0,238186,1,9,1,0,5,0,1,0,2057,48,0, <=50K.
300,39,0,329980,3,10,1,4,1,0,1,0,0,40,0, >50K.
301,30,0,169269,0,7,0,11,5,0,1,0,1721,38,11, <=50K.
302,38,1,34744,3,10,4,5,3,0,0,0,0,38,0, <=50K.
303,26,0,98114,1,9,4,6,0,0,0,0,0,40,0, <=50K.
304,20,0,109667,3,10,0,11,0,0,1,0,0,16,0, <=50K.
306,33,0,147430,1,9,1,5,0,0,0,0,0,40,0, <=50K.
307,24,0,224238,7,13,0,5,0,0,1,0,0,40,0, <=50K.
308,42,5,212894,7,13,1,6,1,0,1,0,0,60,0, >50K.
309,51,2,136708,1,9,1,8,1,2,1,3103,0,84,12, <=50K.
310,56,1,38573,2,12,1,7,1,0,1,0,0,45,0, >50K.
311,22,0,197200,3,10,0,11,0,0,1,0,0,40,0, <=50K.
312,52,2,182796,3,10,1,1,1,0,1,0,0,60,0, <=50K.
313,44,0,184527,7,13,4,6,3,0,0,4934,0,45,0, >50K.
314,34,0,145231,1,9,1,5,4,0,0,4064,0,35,0, <=50K.
315,51,0,43354,3,10,4,4,2,0,1,0,0,42,0, >50K.
317,19,0,355712,3,10,0,8,2,0,0,0,0,25,0, <=50K.
318,37,0,98776,7,13,1,6,1,0,1,0,0,40,0, >50K.
319,68,0,257557,1,9,1,0,1,1,1,0,0,40,0, >50K.
320,22,0,102258,3,10,4,13,2,0,1,0,0,40,0, <=50K.
321,56,5,170287,7,13,1,6,1,0,1,0,0,40,0, <=50K.
322,37,0,243409,1,9,1,4,1,0,1,0,0,40,0, <=50K.
323,52,0,55608,14,2,1,0,1,0,1,0,0,40,3, <=50K.
324,26,0,248057,1,9,3,11,0,0,1,0,0,40,11, <=50K.
325,33,0,95530,8,14,1,3,1,0,1,0,0,50,0, <=50K.
326,45,1,54038,8,14,4,3,3,0,0,0,0,42,0, <=50K.
327,18,0,161245,0,7,0,2,0,0,1,0,0,15,0, <=50K.
328,43,2,388725,3,10,1,1,1,0,1,0,0,60,0, >50K.
330,18,0,228216,1,9,0,11,0,0,1,0,0,20,0, <=50K.
332,57,0,78020,1,9,1,4,1,0,1,0,0,40,0, >50K.
333,41,0,249254,1,9,4,5,3,0,0,3674,0,42,0, <=50K.
334,34,0,87218,8,14,1,6,1,0,1,0,1887,50,0, >50K.
335,19,0,304299,1,9,0,8,3,0,0,0,0,40,0, <=50K.
336,44,0,196234,11,5,4,2,3,0,0,0,0,55,4, <=50K.
337,56,0,197875,4,6,2,2,3,0,0,0,0,40,0, <=50K.
338,36,5,48063,1,9,1,1,1,0,1,0,0,80,0, <=50K.
339,48,0,253596,7,13,4,6,3,0,0,0,0,48,0, <=50K.
340,29,0,39257,1,9,1,10,1,0,1,0,0,40,0, >50K.
341,33,0,56150,7,13,0,4,2,0,1,2174,0,40,0, <=50K.
342,31,0,179415,9,3,1,2,1,0,1,0,0,40,3, <=50K.
343,39,0,252445,8,14,1,3,1,0,1,0,0,45,0, >50K.
344,66,0,275918,1,9,1,6,1,0,1,10605,0,40,0, >50K.
345,27,0,106562,7,13,0,3,2,0,0,0,0,50,0, >50K.
346,39,0,198654,1,9,4,6,3,1,0,99999,0,40,0, >50K.
347,59,0,107318,6,4,1,4,1,0,1,5178,0,50,0, >50K.
348,26,0,181896,1,9,0,2,0,0,0,0,0,40,0, <=50K.
349,31,0,106014,10,11,4,4,3,0,1,0,0,40,0, <=50K.
351,23,0,197997,1,9,0,11,0,0,1,0,0,30,0, <=50K.
352,36,1,173542,1,9,4,5,3,0,0,0,0,40,0, <=50K.
353,34,0,207564,3,10,1,2,4,0,0,0,0,12,0, >50K.
354,32,0,224462,1,9,1,10,1,0,1,0,0,84,0, >50K.
355,37,0,123361,7,13,1,3,1,1,1,0,0,50,0, >50K.
356,33,0,90409,7,13,0,8,2,0,1,0,0,45,0, <=50K.
357,50,2,165001,5,15,1,3,1,0,1,99999,0,80,0, >50K.
358,32,3,149573,2,12,0,13,2,1,1,0,0,40,0, <=50K.
359,35,0,249456,7,13,0,5,0,1,0,0,0,40,0, <=50K.
360,37,0,149898,0,7,1,4,1,0,1,0,0,40,0, <=50K.
361,44,0,292985,3,10,4,4,2,0,1,0,0,60,0, <=50K.
362,57,0,50223,3,10,4,11,5,0,1,0,0,25,0, <=50K.
363,29,1,400074,3,10,1,6,0,0,0,0,0,40,0, <=50K.
364,55,0,197399,1,9,1,4,1,0,1,0,0,50,0, >50K.
365,43,5,209547,5,15,1,3,1,0,1,0,0,25,0, >50K.
366,43,0,52433,3,10,1,8,1,0,1,0,0,70,0, <=50K.
367,45,2,355978,3,10,1,8,1,0,1,0,0,60,0, >50K.
368,33,2,48214,8,14,1,3,4,0,0,0,0,8,0, <=50K.
369,26,0,190873,4,6,4,2,3,0,0,0,0,40,6, <=50K.
370,23,0,278390,3,10,1,8,1,0,1,0,0,68,0, <=50K.
371,41,0,203217,6,4,3,4,2,0,1,0,0,40,3, <=50K.
372,24,0,279175,1,9,1,4,1,0,1,0,0,40,0, <=50K.
373,47,2,194590,7,13,1,8,1,0,1,0,0,44,0, <=50K.
374,34,2,198813,1,9,0,4,0,0,1,0,0,45,0, <=50K.
375,40,0,187294,1,9,1,6,1,0,1,0,0,40,0, >50K.
376,28,0,302903,7,13,1,3,4,2,0,0,1485,40,0, <=50K.
377,24,0,154835,1,9,0,6,0,2,0,0,0,40,13, <=50K.
379,23,0,100345,1,9,0,4,5,0,1,0,0,15,0, <=50K.
380,43,2,126320,1,9,1,6,1,1,1,0,0,40,0, >50K.
381,26,0,142226,7,13,4,7,2,0,0,0,0,40,0, <=50K.
382,58,2,112076,12,16,6,6,4,0,0,0,1485,35,0, >50K.
383,52,0,225339,1,9,2,5,3,1,0,0,0,35,0, <=50K.
384,29,0,211208,0,7,1,10,1,0,1,0,0,99,0, >50K.
385,47,0,200808,0,7,1,2,1,0,1,0,0,35,14, <=50K.
386,49,0,220618,1,9,4,5,3,1,0,0,0,37,0, <=50K.
387,40,0,210493,0,7,2,5,3,0,0,0,0,40,0, <=50K.
388,62,2,369734,1,9,1,5,4,0,0,0,0,40,0, <=50K.
389,49,0,27898,1,9,1,6,1,0,1,0,1977,55,0, >50K.
390,50,0,138193,7,13,4,3,5,0,0,0,0,50,0, >50K.
391,31,0,224234,1,9,0,10,0,1,1,0,0,40,0, <=50K.
392,48,1,188741,8,14,0,3,2,0,0,0,0,50,0, <=50K.
393,24,0,183772,1,9,0,4,3,0,0,0,0,40,0, <=50K.
395,37,0,79586,1,9,3,0,0,2,1,0,0,60,0, <=50K.
396,45,0,355781,7,13,1,6,1,2,1,0,0,45,15, >50K.
398,36,0,116358,8,14,1,6,1,2,1,0,0,45,16, <=50K.
399,45,0,59287,7,13,1,6,1,0,1,0,0,40,0, <=50K.
400,41,0,138868,7,13,0,8,2,0,0,0,0,40,0, <=50K.
401,26,0,185885,2,12,0,7,5,0,0,0,0,20,0, <=50K.
402,17,0,40299,0,7,0,8,0,0,0,0,0,25,0, <=50K.
404,43,0,51494,1,9,1,0,1,0,1,0,0,65,0, <=50K.
405,35,0,179481,1,9,0,10,0,0,1,0,0,55,0, <=50K.
406,38,0,365907,7,13,4,5,3,0,0,0,0,40,0, <=50K.
407,26,0,284343,1,9,0,0,2,0,1,0,0,40,0, <=50K.
408,28,0,204862,3,10,0,6,0,0,0,0,0,40,0, <=50K.
